Id,Prediction
1,940662.50636
2,4633983.6435
3,2333457.115
4,3023244.1827
5,1078433.479
6,90895.097659
7,526514.003
8,745824.2861
9,60639.599643
10,700231.11298
11,600609.61201
12,338179.41531
13,3023244.1827
14,87616.978053
15,1021258.2764
16,741964.53235
17,90895.097659
18,940662.50636
19,188207.33971
20,741964.53235
21,1314798.3086
22,63669.860397
23,700231.11298
24,1078433.479
25,463216.6591
26,60639.599643
27,158829.56038
28,600609.61201
29,338179.41531
30,307086.81588
31,-20031.45225
32,700231.11298
33,741964.53235
34,537089.85441
35,90895.097659
36,188207.33971
37,443955.19272
38,463216.6591
39,957726.10867
40,4633983.6435
41,1162115.7685
42,60639.599643
43,792420.11263
44,933523.0776
45,4633983.6435
46,158829.56038
47,90895.097659
48,770444.25177
49,1078433.479
50,3023244.1827
51,537089.85441
52,338179.41531
53,280244.15106
54,1432628.2409
55,4633983.6435
56,952200.86656
57,957726.10867
58,63669.860397
59,338179.41531
60,600609.61201
61,87616.978053
62,1021258.2764
63,63669.860397
64,700231.11298
65,940662.50636
66,952200.86656
67,940662.50636
68,741964.53235
69,537089.85441
70,3436225.9281
71,933523.0776
72,60639.599643
73,90895.097659
74,1314798.3086
75,745824.2861
76,649473.29667
77,463216.6591
78,60639.599643
79,940662.50636
80,472889.83105
81,700231.11298
82,158829.56038
83,933523.0776
84,230895.32646
85,472889.83105
86,700231.11298
87,90895.097659
88,600609.61201
89,1078433.479
90,188207.33971
91,3023244.1827
92,537089.85441
93,952200.86656
94,649473.29667
95,700231.11298
96,338179.41531
97,940662.50636
98,188207.33971
99,4633983.6435
100,230895.32646
101,3023244.1827
102,700231.11298
103,1078433.479
104,90895.097659
105,-45190.86744
106,87616.978053
107,940662.50636
108,-20031.45225
109,178494.78656
110,537089.85441
111,1162115.7685
112,3436225.9281
113,463216.6591
114,188207.33971
115,472889.83105
116,307086.81588
117,1000594.9607
118,3023244.1827
119,537089.85441
120,1744867.0214
121,4633983.6435
122,63669.860397
123,526514.003
124,188207.33971
125,60639.599643
126,230895.32646
127,63669.860397
128,463216.6591
129,63669.860397
130,472889.83105
131,4633983.6435
132,1314798.3086
133,87616.978053
134,338179.41531
135,1432628.2409
136,957726.10867
137,745824.2861
138,338179.41531
139,600609.61201
140,537089.85441
141,280244.15106
142,1432628.2409
143,443955.19272
144,158829.56038
145,770444.25177
146,745824.2861
147,1000594.9607
148,537089.85441
149,230895.32646
150,1021258.2764
151,63669.860397
152,1162115.7685
153,443955.19272
154,188207.33971
155,4633983.6435
156,940662.50636
157,745824.2861
158,700231.11298
159,472889.83105
160,63669.860397
161,158829.56038
162,90895.097659
163,770444.25177
164,940662.50636
165,1078433.479
166,3023244.1827
167,1744867.0214
168,307086.81588
169,1432628.2409
170,4633983.6435
171,472889.83105
172,90895.097659
173,770444.25177
174,600609.61201
175,307086.81588
176,60639.599643
177,63669.860397
178,700231.11298
179,443955.19272
180,745824.2861
181,338179.41531
182,-20031.45225
183,4633983.6435
184,1162115.7685
185,230895.32646
186,792420.11263
187,63669.860397
188,649473.29667
189,87616.978053
190,230895.32646
191,952200.86656
192,443955.19272
193,1000594.9607
194,188207.33971
195,3023244.1827
196,280244.15106
197,933523.0776
198,940662.50636
199,4633983.6435
200,952200.86656
201,90895.097659
202,957726.10867
203,1433989.7879
204,60639.599643
205,63669.860397
206,178494.78656
207,443955.19272
208,770444.25177
209,188207.33971
210,338179.41531
211,1021258.2764
212,307086.81588
213,741964.53235
