Id,Prediction
1,13.389492218
2,15.417655059
3,14.800512028
4,14.865014791
5,13.626968536
6,12.242465047
7,13.071553239
8,13.340417554
9,12.354309365
10,12.986826947
11,13.055571185
12,12.804425331
13,14.865014791
14,12.220012639
15,13.515420467
16,12.764027904
17,12.242465047
18,13.389492218
19,12.643018698
20,12.764027904
21,13.769897831
22,12.115970011
23,12.986826947
24,13.626968536
25,12.952497357
26,12.354309365
27,12.44867782
28,13.055571185
29,12.804425331
30,12.79922007
31,11.943652706
32,12.986826947
33,12.764027904
34,13.145788945
35,12.242465047
36,12.643018698
37,12.857938078
38,12.952497357
39,13.702565801
40,15.417655059
41,13.749909648
42,12.354309365
43,13.277762642
44,13.477852895
45,15.417655059
46,12.44867782
47,12.242465047
48,13.593466987
49,13.626968536
50,14.865014791
51,13.145788945
52,12.804425331
53,12.456724202
54,13.981835208
55,15.417655059
56,13.454654259
57,13.702565801
58,12.115970011
59,12.804425331
60,13.055571185
61,12.220012639
62,13.515420467
63,12.115970011
64,12.986826947
65,13.389492218
66,13.454654259
67,13.389492218
68,12.764027904
69,13.145788945
70,14.937804702
71,13.477852895
72,12.354309365
73,12.242465047
74,13.769897831
75,13.340417554
76,13.78168996
77,12.952497357
78,12.354309365
79,13.389492218
80,13.188514856
81,12.986826947
82,12.44867782
83,13.477852895
84,12.484855662
85,13.188514856
86,12.986826947
87,12.242465047
88,13.055571185
89,13.626968536
90,12.643018698
91,14.865014791
92,13.145788945
93,13.454654259
94,13.78168996
95,12.986826947
96,12.804425331
97,13.389492218
98,12.643018698
99,15.417655059
100,12.484855662
101,14.865014791
102,12.986826947
103,13.626968536
104,12.242465047
105,11.890060403
106,12.220012639
107,13.389492218
108,11.943652706
109,12.40002969
110,13.145788945
111,13.749909648
112,14.937804702
113,12.952497357
114,12.643018698
115,13.188514856
116,12.79922007
117,13.510283595
118,14.865014791
119,13.145788945
120,13.941426243
121,15.417655059
122,12.115970011
123,13.071553239
124,12.643018698
125,12.354309365
126,12.484855662
127,12.115970011
128,12.952497357
129,12.115970011
130,13.188514856
131,15.417655059
132,13.769897831
133,12.220012639
134,12.804425331
135,13.981835208
136,13.702565801
137,13.340417554
138,12.804425331
139,13.055571185
140,13.145788945
141,12.456724202
142,13.981835208
